nohup: ignoring input
mnist (stumps aleatoires + notre regle, sans routeur, 10 runs) : M=2000/classe total=20000 K=2 S=1 a=0.3 N=256
train=60000 test=10000
threads disponibles : 104
  classe 2 terminee [607.502s]
  classe 5 terminee [609.646s]
  classe 8 terminee [611.11s]
  classe 6 terminee [612.112s]
  classe 7 terminee [612.25s]
  classe 1 terminee [614.088s]
  classe 4 terminee [618.073s]
  classe 0 terminee [622.019s]
  classe 3 terminee [629.646s]
  classe 9 terminee [631.823s]
  entrainement total (parallele) [632.747s]
  run 0 : acc=92.02%
  classe 7 terminee [627.131s]
  classe 2 terminee [628.101s]
  classe 1 terminee [632.679s]
  classe 5 terminee [634.62s]
  classe 8 terminee [634.949s]
  classe 0 terminee [635.894s]
  classe 4 terminee [636.301s]
  classe 3 terminee [641.537s]
  classe 9 terminee [642.593s]
  classe 6 terminee [644.77s]
  entrainement total (parallele) [645.455s]
  run 1 : acc=91.42%
  classe 8 terminee [624.075s]
  classe 0 terminee [624.22s]
  classe 5 terminee [626.794s]
  classe 6 terminee [627.347s]
  classe 3 terminee [629.509s]
  classe 7 terminee [630.671s]
  classe 9 terminee [634.062s]
  classe 4 terminee [634.404s]
  classe 2 terminee [634.375s]
  classe 1 terminee [636.927s]
  entrainement total (parallele) [637.365s]
  run 2 : acc=91.23%
  classe 8 terminee [607.333s]
  classe 2 terminee [610.411s]
  classe 7 terminee [611.115s]
  classe 0 terminee [611.66s]
  classe 5 terminee [613.276s]
  classe 9 terminee [615.575s]
  classe 1 terminee [617.73s]
  classe 4 terminee [618.996s]
  classe 6 terminee [619.145s]
  classe 3 terminee [622.784s]
  entrainement total (parallele) [623.283s]
  run 3 : acc=91.48%
  classe 8 terminee [595.792s]
  classe 2 terminee [602.509s]
  classe 5 terminee [603.941s]
  classe 3 terminee [605.191s]
  classe 7 terminee [608.596s]
  classe 9 terminee [611.922s]
  classe 1 terminee [612.305s]
  classe 4 terminee [617.9s]
  classe 0 terminee [617.733s]
  classe 6 terminee [623.083s]
  entrainement total (parallele) [623.2s]
  run 4 : acc=91.2%
  classe 5 terminee [588.63s]
  classe 0 terminee [598.063s]
  classe 9 terminee [598.95s]
  classe 7 terminee [599.711s]
  classe 2 terminee [599.935s]
  classe 4 terminee [599.793s]
  classe 6 terminee [601.965s]
  classe 3 terminee [603.301s]
  classe 1 terminee [604.461s]
  classe 8 terminee [604.262s]
  entrainement total (parallele) [604.598s]
  run 5 : acc=91.21%
  classe 8 terminee [565.07s]
  classe 1 terminee [592.117s]
  classe 2 terminee [594.367s]
  classe 6 terminee [594.955s]
  classe 5 terminee [596.81s]
  classe 0 terminee [598.938s]
  classe 3 terminee [599.584s]
  classe 4 terminee [599.788s]
  classe 7 terminee [612.494s]
  classe 9 terminee [614.264s]
  entrainement total (parallele) [614.589s]
  run 6 : acc=91.67%
  classe 9 terminee [597.9s]
  classe 6 terminee [601.323s]
  classe 1 terminee [601.363s]
  classe 3 terminee [602.51s]
  classe 2 terminee [602.487s]
  classe 8 terminee [606.128s]
  classe 4 terminee [606.812s]
  classe 7 terminee [609.126s]
  classe 0 terminee [612.795s]
  classe 5 terminee [614.187s]
  entrainement total (parallele) [614.557s]
  run 7 : acc=92.01%
  classe 5 terminee [596.015s]
  classe 4 terminee [598.003s]
  classe 0 terminee [599.851s]
  classe 7 terminee [600.078s]
  classe 1 terminee [600.553s]
  classe 3 terminee [600.365s]
  classe 2 terminee [606.015s]
  classe 8 terminee [611.294s]
  classe 6 terminee [611.758s]
  classe 9 terminee [612.867s]
  entrainement total (parallele) [613.242s]
  run 8 : acc=91.83%
  classe 7 terminee [584.193s]
  classe 9 terminee [594.056s]
  classe 2 terminee [595.982s]
  classe 6 terminee [597.18s]
  classe 8 terminee [602.417s]
  classe 3 terminee [602.776s]
  classe 1 terminee [606.82s]
  classe 0 terminee [608.003s]
  classe 4 terminee [608.141s]
  classe 5 terminee [613.414s]
  entrainement total (parallele) [613.758s]
  run 9 : acc=91.55%
mnist : Mean=91.562 +/- 0.297684
