nohup: ignoring input
mnist (stumps aleatoires + notre regle, sans routeur, 10 runs) : M=1000/classe total=20000 K=2 S=1 a=0.3 N=256
train=60000 test=10000
threads disponibles : 104
  classe 2 terminee [300.17s]
  classe 4 terminee [306.329s]
  classe 8 terminee [307.109s]
  classe 7 terminee [307.138s]
  classe 5 terminee [307.383s]
  classe 6 terminee [308.548s]
  classe 0 terminee [309.59s]
  classe 1 terminee [311.189s]
  classe 3 terminee [315.338s]
  classe 9 terminee [315.609s]
  entrainement total (parallele) [316.637s]
  run 0 : acc=89.5%
  classe 8 terminee [307.338s]
  classe 9 terminee [308.42s]
  classe 2 terminee [311.063s]
  classe 5 terminee [311.87s]
  classe 7 terminee [311.877s]
  classe 0 terminee [313.461s]
  classe 1 terminee [315.454s]
  classe 3 terminee [316.258s]
  classe 6 terminee [319.097s]
  classe 4 terminee [319.114s]
  entrainement total (parallele) [319.563s]
  run 1 : acc=89.08%
  classe 3 terminee [315.11s]
  classe 5 terminee [315.169s]
  classe 6 terminee [316.747s]
  classe 0 terminee [317.193s]
  classe 8 terminee [318.763s]
  classe 7 terminee [320.352s]
  classe 4 terminee [320.608s]
  classe 9 terminee [321.858s]
  classe 1 terminee [322.92s]
  classe 2 terminee [323.396s]
  entrainement total (parallele) [323.508s]
  run 2 : acc=89.19%
  classe 8 terminee [309.897s]
  classe 7 terminee [313.332s]
  classe 2 terminee [318.872s]
  classe 5 terminee [319.674s]
  classe 3 terminee [320.119s]
  classe 6 terminee [320.197s]
  classe 4 terminee [322.421s]
  classe 9 terminee [322.526s]
  classe 0 terminee [324.301s]
  classe 1 terminee [324.229s]
  entrainement total (parallele) [324.555s]
  run 3 : acc=89.25%
  classe 8 terminee [301.142s]
  classe 3 terminee [316.127s]
  classe 0 terminee [318.639s]
  classe 5 terminee [319.539s]
  classe 2 terminee [319.751s]
  classe 7 terminee [320.376s]
  classe 6 terminee [324.168s]
  classe 9 terminee [325.33s]
  classe 4 terminee [325.595s]
  classe 1 terminee [327.553s]
  entrainement total (parallele) [327.664s]
  run 4 : acc=89%
  classe 5 terminee [302.491s]
  classe 0 terminee [306.031s]
  classe 9 terminee [306.609s]
  classe 4 terminee [309.761s]
  classe 8 terminee [309.899s]
  classe 3 terminee [311.678s]
  classe 7 terminee [312.003s]
  classe 6 terminee [312.269s]
  classe 1 terminee [312.565s]
  classe 2 terminee [313.091s]
  entrainement total (parallele) [313.52s]
  run 5 : acc=88.51%
  classe 2 terminee [300.013s]
  classe 1 terminee [305.058s]
  classe 6 terminee [305.608s]
  classe 5 terminee [307.399s]
  classe 4 terminee [309.686s]
  classe 8 terminee [309.751s]
  classe 0 terminee [309.728s]
  classe 7 terminee [311.193s]
  classe 3 terminee [311.827s]
  classe 9 terminee [315.349s]
  entrainement total (parallele) [315.696s]
  run 6 : acc=89.58%
  classe 3 terminee [294.1s]
  classe 7 terminee [304.857s]
  classe 1 terminee [306.042s]
  classe 2 terminee [310.119s]
  classe 4 terminee [310.305s]
  classe 0 terminee [310.862s]
  classe 8 terminee [311.358s]
  classe 6 terminee [312.957s]
  classe 5 terminee [314.515s]
  classe 9 terminee [316.517s]
  entrainement total (parallele) [316.818s]
  run 7 : acc=89.7%
  classe 4 terminee [298.533s]
  classe 0 terminee [302.286s]
  classe 6 terminee [305.221s]
  classe 2 terminee [305.629s]
  classe 5 terminee [305.695s]
  classe 3 terminee [306.631s]
  classe 7 terminee [307.465s]
  classe 1 terminee [308.559s]
  classe 8 terminee [309.908s]
  classe 9 terminee [312.604s]
  entrainement total (parallele) [312.915s]
  run 8 : acc=89.38%
  classe 2 terminee [300.399s]
  classe 9 terminee [303.341s]
  classe 7 terminee [303.707s]
  classe 6 terminee [305.165s]
  classe 8 terminee [306.288s]
  classe 4 terminee [307.052s]
  classe 1 terminee [310.699s]
  classe 3 terminee [312.328s]
  classe 0 terminee [313.918s]
  classe 5 terminee [314.002s]
  entrainement total (parallele) [314.305s]
  run 9 : acc=89.36%
mnist : Mean=89.255 +/- 0.323303
