nohup: ignoring input
mnist (stumps aleatoires + notre regle, sans routeur, 10 runs) : M=500/classe total=20000 K=2 S=1 a=0.3 N=256
train=60000 test=10000
threads disponibles : 104
  classe 8 terminee [147.854s]
  classe 5 terminee [148.577s]
  classe 7 terminee [151.11s]
  classe 0 terminee [152.316s]
  classe 6 terminee [152.485s]
  classe 2 terminee [155.357s]
  classe 4 terminee [155.794s]
  classe 9 terminee [156.193s]
  classe 3 terminee [157.961s]
  classe 1 terminee [161.199s]
  entrainement total (parallele) [162.007s]
  run 0 : acc=85.86%
  classe 0 terminee [153.805s]
  classe 7 terminee [154.322s]
  classe 9 terminee [154.327s]
  classe 2 terminee [154.679s]
  classe 4 terminee [156.015s]
  classe 3 terminee [157.232s]
  classe 5 terminee [157.679s]
  classe 6 terminee [158.597s]
  classe 8 terminee [159.564s]
  classe 1 terminee [162.158s]
  entrainement total (parallele) [162.851s]
  run 1 : acc=85.62%
  classe 2 terminee [152.551s]
  classe 0 terminee [152.569s]
  classe 3 terminee [153.287s]
  classe 4 terminee [153.247s]
  classe 7 terminee [153.379s]
  classe 6 terminee [154.775s]
  classe 9 terminee [155.21s]
  classe 8 terminee [156.187s]
  classe 1 terminee [157.005s]
  classe 5 terminee [157.159s]
  entrainement total (parallele) [157.554s]
  run 2 : acc=85.5%
  classe 8 terminee [149.408s]
  classe 7 terminee [153.404s]
  classe 1 terminee [153.48s]
  classe 9 terminee [155.893s]
  classe 3 terminee [156.699s]
  classe 5 terminee [156.894s]
  classe 6 terminee [157.322s]
  classe 0 terminee [158.129s]
  classe 2 terminee [158.723s]
  classe 4 terminee [159.483s]
  entrainement total (parallele) [159.939s]
  run 3 : acc=85.71%
  classe 8 terminee [148.511s]
  classe 2 terminee [151.288s]
  classe 7 terminee [151.204s]
  classe 1 terminee [154.448s]
  classe 3 terminee [154.593s]
  classe 5 terminee [155.023s]
  classe 6 terminee [156.078s]
  classe 9 terminee [158.841s]
  classe 0 terminee [160.863s]
  classe 4 terminee [162.495s]
  entrainement total (parallele) [162.891s]
  run 4 : acc=85.4%
  classe 8 terminee [151.516s]
  classe 4 terminee [152.559s]
  classe 9 terminee [153.625s]
  classe 3 terminee [154.776s]
  classe 5 terminee [155.912s]
  classe 1 terminee [156.286s]
  classe 6 terminee [156.957s]
  classe 7 terminee [160.531s]
  classe 2 terminee [163.318s]
  classe 0 terminee [163.747s]
  entrainement total (parallele) [164.2s]
  run 5 : acc=84.78%
  classe 8 terminee [150.005s]
  classe 6 terminee [152.588s]
  classe 5 terminee [153.428s]
  classe 4 terminee [154.073s]
  classe 7 terminee [154.672s]
  classe 0 terminee [155.038s]
  classe 2 terminee [154.969s]
  classe 1 terminee [157.949s]
  classe 3 terminee [158.293s]
  classe 9 terminee [166.281s]
  entrainement total (parallele) [166.653s]
  run 6 : acc=85.64%
  classe 3 terminee [151.308s]
  classe 7 terminee [156.561s]
  classe 2 terminee [157.202s]
  classe 1 terminee [159.14s]
  classe 4 terminee [159.583s]
  classe 9 terminee [159.873s]
  classe 6 terminee [160.932s]
  classe 8 terminee [161.106s]
  classe 5 terminee [161.545s]
  classe 0 terminee [163.01s]
  entrainement total (parallele) [163.381s]
  run 7 : acc=85.7%
  classe 4 terminee [152.392s]
  classe 6 terminee [152.911s]
  classe 0 terminee [158.066s]
  classe 5 terminee [159.092s]
  classe 3 terminee [159.131s]
  classe 1 terminee [161.555s]
  classe 7 terminee [162.133s]
  classe 2 terminee [165.429s]
  classe 9 terminee [166.857s]
  classe 8 terminee [167.01s]
  entrainement total (parallele) [167.336s]
  run 8 : acc=85.85%
  classe 9 terminee [155.876s]
  classe 7 terminee [157s]
  classe 1 terminee [156.948s]
  classe 3 terminee [157.719s]
  classe 8 terminee [158.04s]
  classe 5 terminee [158.713s]
  classe 4 terminee [159.681s]
  classe 6 terminee [160.121s]
  classe 2 terminee [162.761s]
  classe 0 terminee [166.151s]
  entrainement total (parallele) [166.47s]
  run 9 : acc=86.55%
mnist : Mean=85.661 +/- 0.41736
