nohup: ignoring input
mnist (stumps aleatoires + notre regle, sans routeur, 5 runs) : M=4000/classe total=20000 K=2 S=1 a=0.3 N=256
train=60000 test=10000
threads disponibles : 104
  classe 8 terminee [1207.12s]
  classe 7 terminee [1216.57s]
  classe 5 terminee [1217.79s]
  classe 1 terminee [1220.07s]
  classe 0 terminee [1221.78s]
  classe 9 terminee [1222.61s]
  classe 4 terminee [1223.62s]
  classe 2 terminee [1224.81s]
  classe 3 terminee [1227.95s]
  classe 6 terminee [1228.05s]
  entrainement total (parallele) [1228.91s]
  run 0 : acc=93.56%
